Translated_TEXT,Sentiment
very helpful discount reasonable prices,positive
I hope the results will be disappointed by the parents' orders,negative
"very disappointed to buy a ticket with a rescheduled paylater date from July to July, the mother is seriously ill in Indonesia, the paylater bell is subject to being billed for double the new ticket, no problem paying for those who have already changed the ticket, while the rescheduling fee is thousands of people but I still have to pay the paylater, who has changed the schedule, it's strange so I hope to buy a ticket if I pay double since the evening until now no response",negative
"thank you, may all the people be happy, amen",positive
it's good that it's easier,positive
very easy to use very helpful,positive
"it took a long time, the application was really bad, I bought plane tickets using the application, I haven't ordered yet, now I want cents for tickets, I got connection problems, it doesn't take long to recommend the application",negative
lmyn is easy to use for its application,positive
I've bargained to exchange product points if you really can't use the voucher code to exchange point ichitan can't exchange cs codes contact complaints the problem isn't resolved,negative
"it's good, fast service, looking for tickets",positive
liquid money balance transfer bank account using paylater then immediately pay refund behavior fund refund call paylater bill followed up faster don't subscribe go one by one,negative
fast more efficient service is good,positive
"it's really cool, fast, it's just a shame to find a seat behind the driver at the front, it's really difficult, it's easy for the one who wants to exchange me with two children so that the child doesn't get drunk in the front",positive
"please change the price, the price goes up and down and it's really expensive coi",positive
permission to save the design sis,positive
the pylater list never keeps rejecting results,positive
e www e rs tt zz www next to wayrrr ss ss d see rrr rdswww www lwj to z se ess serrsrese s eeersrrss s z sseszeeswsz wa yguhb eseess srsesseeeseada c ng ibu dx wt be,negative
"The application is very helpful, the application is better for the verification menu, the steps for hacker activity are very vicious, please consider it, thank you",positive
"Thank God, a few months ago, it was very easy to order a hotel, I hope you are satisfied",positive
"Disappointed, the hotel ordered the payment to arrive, the e-voucher failed to issue the refund process on working days, the consumer had to process the refund, it was mandatory to go directly to the account on the day because the customer service was the wrong solution",negative
efforts to join pitogo pioneering ready to serve the path of concrete behavior,positive
"I'm sorry to give a star, I didn't see the plane ticket, so I didn't buy a plane ticket that appeared in installments",negative
"I want to pay the bill, but I don't want to keep charging via SMS or email, how do I do that?",negative
how do you want to pay bills if you open pay later you are told to register but you send an SMS to bill in installments then how do you pay sorry,negative
"Thank you, loyal, kind-hearted friend with a bonus",positive
Bad customer service replies to bad apps,negative
"went up to the new limit, shopped once, shopped twice, wanted to shop for a virtual account, for the activation process, I had a problem checking it was safe, it's been a pain",negative
"on Saturday, July, good application access. To see hotel flight tickets, please appoint an admin, thank you",positive
"if the train ticket runs out, it's better not once so grab it when you return because the seat appears",positive
"I have it from yesterday, it's hard to open the same one",negative
"I have already paid, of course I can't get a refund, then my phone is empty, then the solution is only profitable, it's detrimental to guests who are far away tired, but I can't get them, even though I'm busy, I really feel like I'm losing again, I hope that guests won't be treated like me",positive
"the check-in message is real, the name appears, the customer service is called for the problem of slow response, throws and throws",negative
fast easy process using the apk,positive
nice experience and good features,positive
"the best, there are lots of discounts for both airplane tickets and hotels",positive
"ordering tickets is very easy, you can use the spaylater limit that is available, thanks for coming, it's easy for me to go home via plane",positive
"easy to choose, choose to pay",positive
"easy to use, very helpful because it's a fast way to pay a lot",positive
awesome playsstore i like,positive
"it's really slow, even though the wifi is on, the net is really good",positive
"Searching for hotels on July, then looking at the hotel application suggestions, when the booking is real, the date doesn't reschedule, there's no refund, I'm crying, I don't give suggestions for dates so people don't get confused",negative
just don't connect to the trial version but instead access the l error,positive
"Entering an account, changing cellphones, not accessing help. I want to pay bills. I'm afraid it's too late if I send the CS number, so I'll call right away, thank you",positive
"Last year, I bought a ticket through the Shopee. The ticket popped up. I thought the Shopee party was aka scalpers, so the real problem with the application was that it didn't lose the problem, I immediately gave up on using it",positive
"choose a complete hotel, lots of discounted prices",positive
very good easy lots of promos,positive
"I am very disappointed if I submit a refund application until the money is transferred, the money has entered the chat account instead of servicing the machine",negative
the application is very helpful user friendly,positive
"the apk is good, the paylater list, the last step is selvi, using the code, the time is always up, even though the seconds are good",positive
it's great to choose a lot of hotels,positive
ticket running time according to writing facilities according to customer service very bad help at all,negative
"thank God the refund was fast, thank you for changing lanes",positive
"buy, pay for the discount, get more",negative
"want to pay, bill paylater, when I enter the pay menu, I leave the main menu, try and keep it the same as the end, try resetting, delete it, don't log in to the same account, I'm told to register paylater again, how to charge, how come it's not very clear how to do it",negative
"the application is bad, it's better if the application is split back, the refund transfer money is very, very long, even though it's clear that it hasn't been a working day, instead it's been months and months and I regret using it",negative
"deceptive application, already ordered a ticket, already paid, suddenly the flight was canceled, then the money was returned, it was cut, it didn't matter, the one who canceled it, got cut off, the advice doesn't need to use the application, the next time you get tricked by the application, it's true",negative
"very helpful for ordering tickets, booking hotels, good jobs",positive
very helpful hopefully the future is successful,positive
"the ticket that was ordered was canceled by the airline, an act that was a loss for the consumer because the money that was returned was according to the initial price of buying a ticket, the intention was to make the app better, delete the app from Playstore, as a consumer, I feel very disappointed with the ski game, thank you",negative
"At first, I really liked it, but when I used paylater, I paid on time, the level even went down, how do I want to use it again, using paylater, it helps, even for a period of time, of course it's easy, if you don't have the payment limit, you already use more, you know, those who pay are disappointed in the end",positive
replace a new cell phone how come paylater lost the operator's phone list automatically,negative
"used for quite a long time because of work then used air transportation but was very disappointed, the spaylater always refused while the place was very young to go",negative
it's very easy to find quality accommodation,positive
"disturb your comfort, don't send ads, then keep trim",negative
"give up using the new paylater this morning, book a hotel, pay using paylater, the amount is million in the afternoon, ask for a refund, want to use a villa refund, but you're still being charged a total of thousands of dollars.",negative
very helpful for booking hotels,positive
very helpful to find a hotel booking a discount hotel,positive
"fast process, need to give a special diacount for loyal customers of local travel",positive
"buy any ticket, hotel is easier, thank you",positive
"thank God, even though I just used it, I felt like I needed help suddenly",positive
"I hope you get a cheap price, amen",positive
