,FINAL_FIX,sentiment,confidence,label
0,aplikasi yg pusing susah pakai nya,0,0.9999008178710938,Negative
1,suka banget sama promonya pas masa masa war tiket konser pertama kali war konser tikom langsung dapet paling depan,1,0.9998680353164673,Positive
2,aplikasi sangat sangat buruk salah pesan tiket mau reschedule malah suruh nambah padahal belum udah baya nama bukan reschedule lebih jadi jangan mau pake aplikas,0,0.9999309778213501,Negative
3,beberapa kali booking hotel selalu sesuai dg harga hotel akhir minta tambah sama resepsionis nya mungkin lebih tekan mitra hotel bayar aplikasi minta tambah biaya pihak hotel terimakasih,0,0.9994233846664429,Negative
6,sangat mudah guna sangat bantu,0,0.9999175071716309,Negative
10,sih metode refund nya blipay mana lama banget gak dana aja coba,0,0.999935507774353,Negative
11,harga lebih mahal yg tera resek,0,0.9998855590820312,Negative
12,lumayan efisien buat pesan tiket pesawat liat harga tiket tanggal tentu gila sih dana refund potong nya gede banget hampir,0,0.7289173007011414,Negative
13,stasiun kereta nya gk lengkap wlek,0,0.9999358654022217,Negative
17,suka aneh mancing hrg murah tp skali masuk hrg lgsg ubah,0,0.9998672008514404,Negative
18,layan  a bagus langsung sigap jawab sopan sesuai tanya,0,0.8722888231277466,Negative
20,aplikasi baik sangat bantu jd mudah pesan tiket kalo mau mana dong sy daftar paylater kok gak jadi terus tolak mulu gak jelas,1,0.9928939938545227,Positive
22,sangattttt buruk laku refund dana bayar kata potong jelas jadi jadi dana refundnya dri wow sangattt tidakkkk masuk akalll apalikasi sangatttt direkomendasikannn,0,0.9999308586120605,Negative
23,tari saldo blipay hampir minggu dana masuk rekening,0,0.9999171495437622,Negative
24,cobain sendiri aja pakai aplikasi rasa alam yg sangat luar biasa booking berangkat jalan jauh tengah jalan kabar villa nya sedang baik booking lg villa yg lewat aplikasi datang malam villa nyata yg nempatin duluan akhir cari hotel ada aja aplikasi yg sangat luar biasa,1,0.9997488856315613,Positive
27,usah instal refand hotel harga hotel nya beda dgn beli langsung persen,0,0.9999088048934937,Negative
32,aplikasi sering error diperbaikin lah sebel bgt klo udh muncul tulis maaf sedikit ganggu tenang bla bla bla tunggu lama tdk kunjung slese ganggu,0,0.9999297857284546,Negative
33,sering update aplikasi unit ready tp konfirmasi milik nyata sdh booked nyangkut lah uang x hati hati yg,0,0.9998866319656372,Negative
34,biaya jasa mahal bgt mending aplikasi oren,0,0.9999305009841919,Negative
35,bijak blibli tiket rewards rubah no telp salah satu akun,0,0.9991268515586853,Negative
36,lama lama ni aplikasi kaya nipu sen tiket taman safari ambil tgl juni buat libur anak coba cari harga murah pas bayar tiket brubah jadi tgl juli sumpah nyesek banget ga refund komplen bantu layang libur gagal kecewa,0,0.9999117851257324,Negative
37,saran tambah metode bayar qris aplikasi maupun website,1,0.8019198775291443,Positive
38,kecewa naik kelas diamond harap banyak disc hotel bintang atas lebih murah kelas bawah malah balik yg kasih benefit malah hotel kelas melati tulis bintang pas check harga hotel hotel favorit gue bintang malah lebih mahal harga tetangga belah bahkan harga seperti lebih tinggi belum naik kelas platinum diamond dapat harga lebih murah baik tiada level,0,0.9998866319656372,Negative
39,sangat kecewa layan cust care nya,0,0.9999232292175293,Negative
40,cs komunikatif awal pakai robot semua yg jawab butuh tunjuk jga inap tuju adminnya tdk respon apa kerja sama dgn aplikasi lgi,0,0.9998948574066162,Negative
42,proses refund langsung cepat costumer service respon cepat beli kendala terimakasih banyak,0,0.9999032020568848,Negative
43,sistem refund cepat gak ribet luar biasa,0,0.9993972778320312,Negative
46,aplikasi ga jelas cek terbang malah sedia,0,0.9999092817306519,Negative
51,proses refound lama acc maskapai aja masuk dana kalian mau viral,0,0.9999293088912964,Negative
53,pasang iklan se enak nya gogle map harga yg gax ngotak,0,0.9995773434638977,Negative
54,tiap pesan pesawat non aktif kan asuransi karna asuransi defult nya pilih posisi non aktif asuransi nya sembunyi,0,0.999902606010437,Negative
56,sya bayar ticket tdk terbit,0,0.9942129254341125,Negative
57,teman jdi korban g refund uang padahal yg cancel maskapai recommend,0,0.9999042749404907,Negative
59,kok laku bayar yah padahal waktu mesan habis,0,0.9999275207519531,Negative
60,lebih murah fleksible applikasi mohon maaf mau pindah beli tempat akhir x beli sini abis ni mau un install bye,0,0.9999040365219116,Negative
62,harga kompetitif banyakin promo syarat mudah banyak transaksi beli,1,0.9996978044509888,Positive
63,lama respon mohon segera bantu,0,0.9999227523803711,Negative
65,nama tehsri yuni fertiwi mau naik kereta afi beneran,0,0.9998252987861633,Negative
66,apk payah udah bayar aplikasi tagih sama pihak hotel,0,0.9999079704284668,Negative
69,yes sex lafe bebas sensor,0,0.9998817443847656,Negative
